ford, galaxy, 151000, 2011, 103, diesel, 10584, 
citroen, xsara, 128545, 2000, 80, gasoline, 1328, 
skoda, rapid, 18798, 2014, 63, gasoline, 9585, 
ford, tourneo-courier, 0, 2015, 74, gasoline, 12460, 
fiat, punto-evo, 69525, 2010, 77, gasoline, 4067, 
opel, agila, 106050, 2001, 43, gasoline, 1332, 
skoda, octavia, 157787, 1999, 81, diesel, 2957, 
honda, cr-v, 167622, 2007, 103, diesel, 8142, 
skoda, fabia, 182500, 2001, 74, gasoline, 2772, 
honda, accord, 297703, 1997, 96, gasoline, 689, 
skoda, superb, 172999, 2011, 147, gasoline, 12657, 
skoda, superb, 25613, 2014, 103, diesel, 22928, 
toyota, auris, 66156, 2013, 91, diesel, 14766, 
audi, q5, 114000, 2009, 125, diesel, 22945, 
skoda, octavia, 167000, 1997, 74, gasoline, 732, 
suzuki, grand-vitara, 205217, 2008, 103, gasoline, 6287, 
bmw, x5, 220000, 2005, 160, diesel, 11099, 
toyota, avensis, 205114, 2012, 110, diesel, 12205, 
skoda, superb, 102935, 2008, 103, diesel, 6994, 
nissan, qashqai, 172666, 2011, 96, diesel, 12213, 
skoda, octavia, 255653, 2006, 103, diesel, 4774, 
skoda, octavia, 217854, 1998, 81, diesel, 1813, 
skoda, fabia, 5, 2015, 66, gasoline, 11284, 
skoda, octavia, 88460, 2004, 75, gasoline, 5144, 
skoda, superb, 108000, 2010, 103, diesel, 12953, 
kia, sorento, 0, 2015, 147, diesel, 33304, 
hyundai, i30, 144517, 2010, 66, diesel, 6217, 
subaru, impreza, 70000, 2003, 250, gasoline, 14803, 
mitsubishi, outlander, 3, 2015, 110, diesel, 36750, 
citroen, berlingo, 80190, 2010, 80, diesel, 7957, 
skoda, rapid, 53100, 2013, 77, diesel, 11472, 
skoda, octavia, 209000, 2009, 103, diesel, 7586, 
skoda, rapid, 13204, 2014, 66, diesel, 15877, 
skoda, superb, 15250, 2014, 103, gasoline, 25336, 
mini, cooper, 100000, 2005, 85, gasoline, 5366, 
opel, astra, 97784, 2006, 66, gasoline, 2775, 
hyundai, i30, 93373, 2012, 66, diesel, 7401, 
skoda, felicia, 293000, 1995, 50, gasoline, 333, 
ford, mondeo, 170500, 2001, 107, gasoline, 2405, 
skoda, fabia, 111470, 2004, 47, gasoline, 2405, 
mitsubishi, outlander, 137766, 2008, 103, diesel, 9252, 
skoda, octavia, 88800, 2012, 90, gasoline, 9992, 
skoda, octavia, 42537, 2014, 110, diesel, 19032, 
audi, a3, 176749, 2001, 75, gasoline, 2405, 
ford, s-max, 214342, 2006, 103, diesel, 7731, 
skoda, rapid, 25033, 2013, 77, gasoline, 10251, 
ford, s-max, 155152, 2006, 107, gasoline, 6954, 
skoda, fabia, 99700, 2007, 55, gasoline, 4256, 
kia, sportage, 105000, 2012, 100, diesel, 14248, 
skoda, octavia, 144700, 2009, 59, gasoline, 5514, 
skoda, octavia, 217160, 2003, 75, gasoline, 2775, 
citroen, c1, 91424, 2007, 50, gasoline, 2775, 
bmw, x5, 18500, 2014, 190, diesel, 61065, 
suzuki, jimny, 119600, 2002, 60, gasoline, 4774, 
skoda, fabia, 123000, 2011, 66, diesel, 6254, 
citroen, c4-picasso, 238350, 2007, 80, diesel, 4256, 
skoda, octavia, 179300, 2006, 77, diesel, 6254, 
seat, ibiza, 92907, 2007, 51, gasoline, 4256, 
skoda, octavia, 90983, 2004, 110, gasoline, 4811, 
skoda, fabia, 92472, 2011, 63, gasoline, 5514, 
citroen, c3-picasso, 155369, 2010, 70, gasoline, 6476, 
skoda, fabia, 12472, 2010, 63, gasoline, 6106, 
skoda, superb, 223553, 2005, 96, diesel, 5366, 
opel, agila, 13017, 2007, 44, gasoline, 3886, 
audi, a3, 30540, 2007, 75, gasoline, 7290, 
hyundai, i30, 64890, 2012, 73, gasoline, 9437, 
audi, q5, 15000, 2015, 140, diesel, 47020, 
skoda, octavia, 16265, 2014, 77, diesel, 15877, 
skoda, octavia, 192843, 2007, 77, diesel, 5440, 
mitsubishi, l200, 131372, 2008, 100, diesel, 10732, 
audi, a6, 294000, 2005, 165, diesel, 4807, 
hyundai, santa-fe, 235000, 2002, 82, diesel, 2368, 
volvo, v40, 190000, 2004, 90, gasoline, 2775, 
opel, vectra, 230000, 1999, 74, diesel, 370, 
ford, ka, 94198, 2005, 44, gasoline, 2072, 
ford, s-max, 137316, 2011, 103, diesel, 9437, 
skoda, fabia, 245000, 2005, 55, diesel, 2775, 
honda, hr-v, 127240, 2003, 91, gasoline, 3886, 
ford, galaxy, 214000, 2003, 96, diesel, 3997, 
skoda, octavia, 206700, 2006, 75, gasoline, 3256, 
audi, q3, 10000, 2015, 135, diesel, 40706, 
skoda, octavia, 195000, 2008, 103, diesel, 6569, 
skoda, superb, 107025, 2011, 103, diesel, 13286, 
ford, focus, 120060, 2006, 74, gasoline, 4252, 
volvo, s60, 275000, 2000, 147, gasoline, 2590, 
hyundai, coupe, 65000, 2002, 101, gasoline, 3582, 
skoda, fabia, 158338, 2002, 74, diesel, 2553, 
skoda, octavia, 232349, 2002, 66, diesel, 2812, 
skoda, fabia, 180733, 2003, 55, gasoline, 2294, 
skoda, octavia, 248589, 2000, 81, diesel, 2035, 
skoda, octavia, 58350, 2011, 77, diesel, 8401, 
skoda, octavia, 148189, 2005, 77, diesel, 5440, 
suzuki, sx4, 62395, 2011, 88, gasoline, 8512, 
ford, focus, 139293, 2007, 66, diesel, 4034, 
skoda, fabia, 115003, 2005, 47, gasoline, 3552, 
ford, fusion, 60575, 2007, 59, gasoline, 4367, 
ford, focus, 118000, 2009, 66, diesel, 4996, 
citroen, saxo, 130300, 1997, 65, gasoline, 814, 
fiat, punto, 185000, 2000, 44, gasoline, 814, 
skoda, fabia, 55800, 2010, 66, diesel, 6627, 
skoda, octavia, 130800, 2011, 77, diesel, 8508, 
skoda, octavia, 108500, 2011, 77, diesel, 9628, 
skoda, octavia, 175600, 2012, 77, diesel, 8463, 
bmw, x3, 247084, 2006, 110, diesel, 8878, 
skoda, fabia, 125000, 2002, 50, gasoline, 2216, 
mini, cooper-s, 89500, 2007, 128, gasoline, 5181, 
chevrolet, matiz, 37000, 2007, 38, gasoline, 2516, 
skoda, octavia, 172000, 2007, 77, diesel, 6476, 
skoda, fabia, 214000, 2008, 44, gasoline, 2775, 
audi, q7, 160500, 2010, 176, diesel, 27719, 
citroen, saxo, 82167, 1997, 44, gasoline, 995, 
audi, a4, 206000, 1996, 110, gasoline, 4248, 
audi, a8, 87701, 2012, 184, diesel, 42561, 
ford, mondeo, 153516, 2012, 103, diesel, 11102, 
kia, sorento, 119739, 2011, 145, diesel, 14245, 
skoda, fabia, 194833, 2001, 44, gasoline, 1628, 
skoda, fabia, 274005, 2001, 47, diesel, 1661, 
bmw, x5, 122000, 2010, 180, diesel, 31078, 
skoda, rapid, 23391, 2015, 90, gasoline, 13689, 
skoda, octavia, 98521, 2010, 74, diesel, 5144, 
citroen, xsara-picasso, 166000, 2002, 85, diesel, 1961, 
skoda, fabia, 211900, 2001, 55, gasoline, 2553, 
skoda, rapid, 23175, 2015, 90, gasoline, 13689, 
citroen, saxo, 173456, 1998, 42, diesel, 925, 
jeep, grand-cherokee, 173376, 2006, 160, diesel, 11099, 
ford, s-max, 190780, 2006, 92, diesel, 6254, 
toyota, rav4, 114513, 2009, 110, diesel, 11469, 
skoda, octavia, 243250, 2004, 66, diesel, 3663, 
skoda, fabia, 165307, 2006, 55, gasoline, 3515, 
mazda, 626, 108000, 1997, 66, gasoline, 666, 
skoda, felicia, 183000, 1999, 55, gasoline, 1332, 
hyundai, matrix, 182000, 2002, 90, gasoline, 1073, 
fiat, bravo, 151200, 2007, 66, gasoline, 3886, 
kia, sorento, 202000, 2005, 103, diesel, 5129, 
kia, carens, 234391, 2007, 103, diesel, 2957, 
smart, forfour, 200000, 2005, 50, diesel, 2553, 
skoda, octavia, 55700, 2010, 147, gasoline, 15136, 
audi, a6, 217000, 2007, 103, diesel, 6457, 
opel, combo, 108452, 2002, 64, gasoline, 2586, 
skoda, rapid, 21750, 2014, 63, gasoline, 9988, 
jeep, grand-cherokee, 169000, 2007, 160, diesel, 8845, 
kia, rio, 128357, 2003, 60, gasoline, 1106, 
ford, galaxy, 212225, 1999, 66, diesel, 1846, 
skoda, superb, 6296, 2015, 110, diesel, 35325, 
ford, fiesta, 36843, 2003, 44, gasoline, 2183, 
seat, altea, 129681, 2006, 77, diesel, 5177, 
audi, a3, 189532, 2005, 103, diesel, 5917, 
audi, a4, 74800, 2014, 130, diesel, 29570, 
hyundai, i30, 61000, 2011, 80, gasoline, 7031, 
citroen, c3, 65032, 2003, 54, gasoline, 2553, 
skoda, fabia, 146967, 2009, 51, diesel, 5144, 
skoda, fabia, 163257, 2001, 55, gasoline, 2401, 
skoda, yeti, 2, 2015, 103, diesel, 22202, 
skoda, yeti, 19321, 2014, 81, diesel, 15725, 
hyundai, santa-fe, 111212, 2010, 145, diesel, 14800, 
suzuki, vitara, 2, 2015, 88, gasoline, 20721, 
audi, a3, 188211, 1998, 74, gasoline, 1476, 
toyota, corolla-verso, 132011, 2003, 81, gasoline, 4067, 
ford, focus, 129570, 2010, 80, diesel, 5917, 
lancia, delta, 146525, 2009, 88, diesel, 5917, 
suzuki, jimny, 131000, 2003, 60, gasoline, 5366, 
citroen, berlingo, 182367, 2002, 51, diesel, 2401, 
skoda, fabia, 163233, 2002, 55, gasoline, 2183, 
skoda, rapid, 9985, 2015, 66, diesel, 16650, 
citroen, saxo, 165449, 1999, 44, gasoline, 921, 
mazda, 6, 212000, 2004, 100, diesel, 2923, 
opel, mokka, 10399, 2015, 103, gasoline, 17024, 
mitsubishi, outlander, 3, 2015, 110, diesel, 31865, 
ford, c-max, 79000, 2013, 85, diesel, 12176, 
hyundai, ix20, 13800, 2014, 66, gasoline, 9437, 
chrysler, town-country, 122800, 2012, 214, gasoline, 18467, 
skoda, octavia, 19950, 2014, 77, diesel, 16876, 
skoda, citigo, 8587, 2014, 44, gasoline, 7253, 
ford, tourneo-connect, 136000, 2008, 66, diesel, 5292, 
skoda, octavia, 21400, 2014, 77, diesel, 15358, 
skoda, fabia, 51000, 2004, 40, gasoline, 2405, 
skoda, octavia, 15841, 2014, 103, gasoline, 16247, 
skoda, citigo, 15156, 2014, 55, gasoline, 7364, 
skoda, fabia, 121385, 2003, 40, gasoline, 1628, 
bmw, x6, 8614, 2015, 190, diesel, 67357, 
porsche, cayenne, 32900, 2014, 180, diesel, 66987, 
porsche, macan, 10, 2015, 190, diesel, 69948, 
audi, rs4, 40854, 2013, 331, gasoline, 63286, 
bmw, m3, 9800, 2014, 317, gasoline, 67727, 
bmw, m5, 40000, 2014, 412, gasoline, 73649, 
audi, s8, 45040, 2013, 382, gasoline, 73649, 
porsche, panamera, 19898, 2014, 221, diesel, 75869, 
bmw, x5, 12500, 2014, 280, diesel, 81051, 
bmw, x6, 0, 2015, 230, diesel, 82901, 
audi, q5, 21300, 2014, 130, diesel, 44041, 
bmw, x3, 39250, 2014, 190, diesel, 48112, 
audi, a6, 26444, 2014, 150, diesel, 41820, 
jaguar, xj, 22500, 2014, 202, diesel, 51073, 
audi, q5, 26937, 2014, 130, diesel, 41820, 
audi, a6, 25940, 2015, 150, diesel, 42190, 
audi, s5, 29, 2013, 245, gasoline, 42931, 
audi, a6, 20054, 2014, 180, diesel, 46632, 
nissan, juke, 11, 2015, 160, gasoline, 23686, 
ford, galaxy, 21750, 2014, 103, diesel, 28127, 
ford, kuga, 20300, 2015, 110, diesel, 27387, 
kia, sportage, 0, 2015, 100, diesel, 29977, 
ford, mondeo, 15100, 2015, 110, diesel, 30347, 
mitsubishi, outlander, 25000, 2015, 110, diesel, 29977, 
mazda, cx-5, 31480, 2014, 129, diesel, 29237, 
volvo, v70, 25600, 2015, 133, diesel, 30717, 
opel, zafira, 300, 2015, 110, diesel, 30347, 
audi, a4, 26262, 2015, 110, diesel, 31458, 
honda, cr-v, 10, 2015, 118, diesel, 32938, 
jeep, wrangler, 1, 2015, 147, diesel, 31828, 
skoda, fabia, 185769, 2003, 50, gasoline, 1813, 
volvo, v50, 204000, 2005, 100, diesel, 4626, 
volvo, xc90, 29970, 2014, 147, diesel, 45891, 
ford, s-max, 22600, 2014, 103, diesel, 25906, 
mazda, 6, 13521, 2014, 110, diesel, 25536, 
audi, tt, 219000, 2007, 147, gasoline, 9622, 
ford, s-max, 18200, 2014, 120, diesel, 26646, 
citroen, c5, 149000, 2004, 80, diesel, 2146, 
skoda, superb, 3385, 2015, 140, diesel, 35122, 
audi, a4, 209000, 2002, 132, diesel, 3293, 
volvo, s60, 41916, 2014, 158, diesel, 30347, 
ford, ka, 54422, 2012, 51, gasoline, 5366, 
toyota, yaris, 59000, 2010, 51, gasoline, 6102, 
subaru, legacy, 306000, 2003, 154, gasoline, 3697, 
toyota, auris, 18196, 2012, 97, gasoline, 11876, 
nissan, pathfinder, 57950, 2009, 126, diesel, 16617, 
kia, sportage, 2, 2015, 85, diesel, 18504, 
opel, astra, 144000, 2008, 85, gasoline, 4996, 
kia, sportage, 2, 2015, 99, gasoline, 18504, 
skoda, superb, 188235, 2009, 77, diesel, 10917, 
skoda, octavia, 202000, 2001, 66, diesel, 2216, 
skoda, fabia, 143483, 2002, 50, gasoline, 2183, 
nissan, pulsar, 40, 2015, 81, diesel, 14985, 
skoda, roomster, 164000, 2007, 63, gasoline, 5033, 
skoda, fabia, 78620, 2012, 55, diesel, 6254, 
skoda, octavia, 198542, 2010, 77, diesel, 6624, 
skoda, fabia, 171611, 2004, 40, gasoline, 547, 
ford, ka, 72700, 2000, 44, gasoline, 370, 
skoda, octavia, 188297, 2006, 77, diesel, 4774, 
suzuki, swift, 92300, 2003, 63, gasoline, 1432, 
ford, fiesta, 167300, 2004, 50, diesel, 2320, 
ford, focus, 202542, 2007, 100, diesel, 6287, 
skoda, felicia, 95000, 1995, 50, gasoline, 592, 
mazda, 3, 131091, 2005, 110, gasoline, 4774, 
mini, cooper, 57476, 2011, 72, gasoline, 10325, 
hyundai, ix20, 6800, 2012, 66, gasoline, 8138, 
fiat, panda, 15, 2015, 51, gasoline, 8401, 
skoda, rapid, 12050, 2014, 77, gasoline, 11360, 
audi, q7, 105587, 2011, 176, diesel, 27757, 
ford, mondeo, 122500, 2004, 96, diesel, 3293, 
skoda, octavia, 269533, 2009, 77, diesel, 6106, 
fiat, idea, 137450, 2005, 57, gasoline, 2586, 
citroen, c5, 237530, 2002, 80, diesel, 2183, 
bmw, z4, 140882, 2005, 110, gasoline, 8105, 
citroen, berlingo, 163000, 2008, 55, diesel, 3923, 
toyota, rav4, 271025, 2004, 85, diesel, 5440, 
skoda, octavia, 34600, 2013, 77, diesel, 13656, 
opel, astra, 144000, 2008, 85, gasoline, 4996, 
mini, cooper, 125000, 2003, 85, gasoline, 3663, 
skoda, fabia, 109000, 2002, 55, gasoline, 2923, 
citroen, c5, 229700, 2001, 100, gasoline, 1665, 
suzuki, jimny, 83000, 2007, 63, gasoline, 6106, 
suzuki, swift, 2, 2015, 69, gasoline, 9988, 
skoda, rapid, 28500, 2014, 77, gasoline, 10325, 
skoda, fabia, 208000, 2000, 44, gasoline, 962, 
toyota, corolla, 224000, 1999, 63, gasoline, 1406, 
skoda, octavia, 168249, 2012, 103, diesel, 10732, 
skoda, fabia, 199000, 2001, 50, gasoline, 2035, 
fiat, punto, 191500, 1999, 40, gasoline, 921, 
ford, c-max, 103000, 2007, 74, gasoline, 5177, 
mazda, rx-8, 93273, 2004, 141, gasoline, 5177, 
mazda, rx-8, 93273, 2004, 141, gasoline, 5177, 
hyundai, i20, 3000, 2015, 61, gasoline, 9252, 
skoda, octavia, 145000, 2006, 75, gasoline, 5144, 
ford, focus, 122000, 2006, 85, gasoline, 4659, 
skoda, superb, 51656, 2010, 103, diesel, 11435, 
ford, focus, 211424, 2010, 80, diesel, 5033, 
audi, q5, 94521, 2010, 125, diesel, 20355, 
skoda, octavia, 180588, 2012, 77, diesel, 7401, 
hyundai, i30, 90620, 2008, 80, gasoline, 5551, 
skoda, octavia, 157793, 2012, 103, diesel, 9992, 
ford, fusion, 106970, 2009, 59, gasoline, 5255, 
hyundai, i30, 121730, 2010, 80, gasoline, 5551, 
mazda, premacy, 232505, 2002, 74, diesel, 1961, 
skoda, octavia, 169602, 2005, 85, gasoline, 5181, 
opel, zafira, 147975, 2007, 88, diesel, 5773, 
suzuki, sx4, 81553, 2008, 79, gasoline, 6217, 
skoda, octavia, 240152, 2006, 77, diesel, 5625, 
skoda, roomster, 172500, 2007, 63, gasoline, 5551, 
hyundai, getz, 150353, 2004, 63, gasoline, 1591, 
skoda, octavia, 159300, 2005, 77, diesel, 5403, 
skoda, octavia, 155975, 2010, 77, diesel, 9844, 
skoda, octavia, 48596, 2011, 77, gasoline, 8845, 
skoda, fabia, 196890, 2002, 47, diesel, 2405, 
hyundai, i30, 64289, 2009, 80, gasoline, 4885, 
nissan, qashqai, 120890, 2007, 110, diesel, 8512, 
ford, focus, 195104, 2005, 66, diesel, 3182, 
skoda, fabia, 82229, 2006, 40, gasoline, 2960, 
audi, a4, 43402, 2010, 125, diesel, 15914, 
ford, fusion, 58017, 2007, 59, gasoline, 4922, 
kia, sorento, 111596, 2011, 145, diesel, 14245, 
jeep, grand-cherokee, 224124, 2004, 155, gasoline, 7216, 
skoda, octavia, 189394, 2011, 103, diesel, 9067, 
skoda, superb, 3204, 2015, 110, gasoline, 31791, 
opel, zafira, 125479, 2007, 77, gasoline, 6291, 
skoda, fabia, 17277, 2015, 66, gasoline, 11324, 
skoda, fabia, 18050, 2015, 66, gasoline, 11102, 
opel, meriva, 13579, 2015, 74, gasoline, 12139, 
skoda, fabia, 28263, 2015, 66, gasoline, 11102, 
opel, meriva, 6784, 2015, 74, gasoline, 12435, 
skoda, fabia, 22131, 2015, 66, gasoline, 11102, 
opel, meriva, 8187, 2015, 74, gasoline, 12213, 
citroen, c4-picasso, 70063, 2008, 88, gasoline, 6513, 
opel, meriva, 12105, 2015, 74, gasoline, 12065, 
skoda, octavia, 110852, 2013, 103, diesel, 12065, 
skoda, octavia, 136205, 2005, 77, diesel, 6402, 
skoda, superb, 2531, 2015, 110, gasoline, 32549, 
skoda, fabia, 137616, 2003, 55, gasoline, 2627, 
skoda, fabia, 84327, 2007, 51, gasoline, 4071, 
skoda, octavia, 95817, 2012, 77, diesel, 10066, 
skoda, fabia, 140190, 2004, 40, gasoline, 2294, 
skoda, fabia, 145953, 2006, 40, gasoline, 2812, 
skoda, octavia, 126710, 2011, 77, diesel, 9215, 
skoda, octavia, 161612, 2012, 103, diesel, 8179, 
skoda, fabia, 99824, 2002, 50, gasoline, 2516, 
skoda, fabia, 140033, 2003, 74, diesel, 2886, 
skoda, octavia, 224519, 2005, 77, diesel, 4515, 
skoda, fabia, 70770, 2003, 40, gasoline, 2627, 
seat, leon, 151997, 2000, 74, gasoline, 2586, 
skoda, fabia, 59346, 2005, 47, gasoline, 2442, 
audi, a3, 90691, 2011, 75, gasoline, 9548, 
hyundai, i30, 35768, 2013, 81, diesel, 10954, 
skoda, octavia, 155715, 2009, 77, diesel, 7179, 
skoda, octavia, 108544, 2007, 103, diesel, 5551, 
citroen, c3, 52209, 2008, 44, gasoline, 4108, 
opel, insignia, 93406, 2009, 103, gasoline, 8882, 
skoda, octavia, 143735, 2007, 77, diesel, 6735, 
ford, fusion, 77750, 2008, 59, gasoline, 4774, 
opel, vectra, 165335, 2003, 90, gasoline, 2553, 
skoda, octavia, 147191, 2008, 103, diesel, 8512, 
opel, corsa, 36002, 2007, 44, gasoline, 3552, 
audi, a3, 149767, 2004, 75, gasoline, 4441, 
skoda, octavia, 162602, 2007, 77, diesel, 5736, 
ford, focus, 149319, 2010, 66, diesel, 5662, 
ford, mondeo, 141961, 2010, 100, diesel, 8179, 
subaru, forester, 94512, 2007, 116, gasoline, 7401, 
audi, a4, 242968, 2008, 105, diesel, 9252, 
audi, a8, 236000, 2001, 165, diesel, 4071, 
mercedes-benz, viano, 108200, 2010, 150, diesel, 19948, 
skoda, octavia, 214000, 2005, 103, diesel, 4922, 
skoda, superb, 143297, 2012, 103, diesel, 14059, 
opel, zafira, 197295, 1999, 85, gasoline, 2031, 
skoda, octavia, 170000, 2006, 110, diesel, 5736, 
seat, alhambra, 350000, 2001, 85, diesel, 2775, 
seat, alhambra, 195000, 2004, 85, diesel, 3589, 
ford, fusion, 170000, 2003, 59, gasoline, 2442, 
mazda, 6, 150000, 2006, 122, gasoline, 4626, 
skoda, octavia, 238564, 2008, 103, diesel, 6846, 
ford, focus, 162308, 2006, 85, diesel, 3293, 
toyota, rav4, 140087, 2006, 130, diesel, 8068, 
ford, c-max, 93290, 2006, 74, gasoline, 4774, 
skoda, fabia, 134229, 2005, 47, gasoline, 2586, 
suzuki, ignis, 158610, 2003, 68, gasoline, 2775, 
skoda, superb, 186032, 2005, 120, diesel, 5181, 
skoda, octavia, 160338, 2008, 103, diesel, 9618, 
hyundai, i30, 50624, 2012, 92, gasoline, 8142, 
hyundai, santa-fe, 85527, 2011, 145, diesel, 14803, 
audi, a1, 150000, 2011, 77, diesel, 10695, 
skoda, fabia, 118600, 2008, 51, gasoline, 4330, 
honda, jazz, 138000, 2002, 57, gasoline, 2202, 
ford, focus, 114704, 2011, 85, diesel, 8068, 
skoda, octavia, 219000, 2010, 77, diesel, 7398, 
seat, altea, 176133, 2009, 77, diesel, 7768, 
skoda, octavia, 188500, 2004, 103, diesel, 5917, 
skoda, fabia, 128900, 2009, 44, gasoline, 1073, 
ford, focus, 136610, 2009, 100, diesel, 3700, 
fiat, stilo, 92162, 2002, 76, gasoline, 2405, 
skoda, octavia, 162900, 2009, 77, diesel, 7401, 
citroen, berlingo, 154336, 2009, 66, diesel, 5551, 
ford, focus, 177613, 2010, 80, diesel, 6957, 
skoda, octavia, 142579, 2010, 77, diesel, 7401, 
ford, mondeo, 105974, 2010, 120, diesel, 10177, 
skoda, fabia, 188100, 2008, 77, diesel, 4811, 
ford, focus, 189676, 2010, 80, diesel, 6291, 
skoda, octavia, 152729, 2009, 77, diesel, 7401, 
ford, mondeo, 142056, 2010, 103, diesel, 9622, 
ford, focus, 86900, 2009, 74, gasoline, 5551, 
skoda, fabia, 147000, 2010, 55, diesel, 5551, 
skoda, octavia, 138562, 2011, 77, diesel, 9955, 
ford, focus, 127465, 2009, 85, gasoline, 4811, 
opel, astra, 101982, 2012, 81, diesel, 8142, 
citroen, c5, 162000, 2009, 103, diesel, 7290, 
skoda, superb, 187463, 2005, 96, diesel, 3700, 
skoda, octavia, 172000, 2007, 77, diesel, 4441, 
skoda, octavia, 103100, 2009, 118, gasoline, 7401, 
skoda, fabia, 1774593, 2000, 50, gasoline, 1480, 
ford, focus, 180500, 2000, 85, gasoline, 1295, 
opel, astra, 118423, 2008, 66, gasoline, 3700, 
skoda, octavia, 174563, 2005, 66, diesel, 2775, 
opel, combo, 355000, 2001, 55, diesel, 2923, 
skoda, superb, 33500, 2013, 125, diesel, 20351, 
ford, explorer, 91000, 1998, 152, gasoline, 3290, 
skoda, fabia, 96313, 2000, 44, gasoline, 2035, 
ford, tourneo-connect, 188000, 2006, 81, diesel, 3293, 
suzuki, jimny, 83000, 2007, 63, diesel, 5884, 
volvo, v50, 106262, 2008, 100, diesel, 9622, 
nissan, pathfinder, 142456, 2011, 140, diesel, 13545, 
skoda, octavia, 173000, 2007, 103, diesel, 5662, 
ford, s-max, 146766, 2012, 103, diesel, 12879, 
skoda, superb, 101419, 2012, 103, diesel, 15099, 
opel, insignia, 148785, 2012, 118, diesel, 11028, 
skoda, octavia, 220526, 2005, 77, diesel, 5847, 
citroen, saxo, 105000, 2002, 44, gasoline, 1439, 
skoda, fabia, 182800, 2011, 55, diesel, 5547, 
mazda, 3, 117000, 2007, 77, gasoline, 5921, 
skoda, octavia, 180800, 2011, 77, diesel, 7768, 
chrysler, pt-cruiser, 120533, 2000, 104, gasoline, 1850, 
audi, a4, 180121, 2009, 88, diesel, 10732, 
mazda, 6, 187575, 2003, 89, diesel, 3145, 
mitsubishi, pajero, 187133, 2007, 125, diesel, 11820, 
skoda, octavia, 31655, 2014, 81, gasoline, 15877, 
skoda, felicia, 111000, 1999, 50, gasoline, 1110, 
skoda, octavia, 267885, 2004, 75, gasoline, 2775, 
ford, mondeo, 217861, 2004, 96, diesel, 2923, 
skoda, octavia, 217066, 2004, 77, diesel, 4726, 
skoda, superb, 87000, 2011, 103, diesel, 19578, 
skoda, fabia, 183932, 2003, 40, gasoline, 2220, 
ford, focus, 68696, 2011, 74, gasoline, 7768, 
nissan, navara, 147000, 2007, 126, diesel, 11028, 
skoda, superb, 75982, 2011, 191, gasoline, 16617, 
ford, focus, 271825, 2000, 66, diesel, 1295, 
skoda, citigo, 2960, 2014, 44, gasoline, 7398, 
skoda, citigo, 3565, 2014, 44, gasoline, 7398, 
skoda, rapid, 15450, 2014, 90, gasoline, 14059, 
volvo, s60, 169400, 2002, 120, diesel, 3697, 
nissan, navara, 120315, 2009, 126, diesel, 10917, 
hyundai, getz, 158568, 2004, 77, gasoline, 2035, 
volvo, s40, 151258, 2000, 70, diesel, 2035, 
audi, a4, 172589, 2002, 96, diesel, 4256, 
chrysler, voyager, 217000, 2003, 105, diesel, 2738, 
hyundai, lantra, 94890, 1997, 83, gasoline, 1073, 
skoda, octavia, 249930, 2001, 81, diesel, 3293, 
citroen, c3, 134583, 2008, 44, gasoline, 3164, 
skoda, octavia, 28000, 2013, 77, diesel, 14655, 
opel, corsa, 37180, 2009, 59, gasoline, 4848, 
ford, galaxy, 256000, 2001, 85, diesel, 3145, 
skoda, octavia, 22400, 2014, 81, gasoline, 15877, 
skoda, fabia, 38035, 2003, 40, gasoline, 2183, 
audi, q7, 194600, 2006, 171, diesel, 14396, 
mazda, cx, 139650, 2007, 191, gasoline, 8512, 
honda, cr-v, 47595, 2011, 110, diesel, 14766, 
skoda, superb, 110862, 2012, 103, diesel, 14396, 
skoda, octavia, 185955, 2008, 74, diesel, 4774, 
citroen, c3, 79887, 2011, 88, gasoline, 7401, 
skoda, fabia, 129000, 2007, 59, diesel, 4252, 
skoda, octavia, 21286, 2014, 77, diesel, 16469, 
ford, mondeo, 328300, 2009, 92, diesel, 4256, 
skoda, fabia, 165700, 2007, 59, diesel, 4622, 
honda, civic, 185249, 2001, 81, gasoline, 2590, 
hyundai, i30, 125563, 2008, 92, gasoline, 4774, 
citroen, c4-picasso, 97000, 2010, 80, diesel, 9067, 
ford, kuga, 53000, 2009, 100, diesel, 11099, 
skoda, octavia, 148201, 2011, 77, gasoline, 7768, 
skoda, rapid, 13300, 2014, 63, gasoline, 10544, 
skoda, superb, 8399, 2015, 110, gasoline, 31584, 
skoda, rapid, 27375, 2014, 77, gasoline, 11435, 
ford, fusion, 43000, 2007, 59, gasoline, 5144, 
opel, vectra, 228000, 2003, 108, gasoline, 2553, 
fiat, doblo, 155623, 2006, 77, diesel, 3515, 
opel, corsa, 206497, 2002, 55, gasoline, 1665, 
skoda, fabia, 68800, 2006, 47, gasoline, 3293, 
skoda, octavia, 207952, 2009, 75, gasoline, 3811, 
ford, fiesta, 58500, 2010, 88, gasoline, 6624, 
citroen, c4-aircross, 0, 2015, 84, diesel, 18103, 
mazda, 3, 132000, 2007, 80, diesel, 3663, 
audi, q7, 28350, 2014, 180, diesel, 48364, 
skoda, felicia, 221200, 2015, 47, diesel, 1591, 
skoda, octavia, 189000, 2010, 103, diesel, 10732, 
opel, meriva, 51810, 2010, 88, gasoline, 8697, 
skoda, yeti, 90845, 2012, 81, diesel, 12583, 
kia, sportage, 87334, 2010, 100, diesel, 13323, 
seat, alhambra, 268454, 1998, 81, diesel, 2331, 
